exp,subject,session,item,standard,response,key,accuracy,con,con6
1,455,2,14.6.12,A-SSE.B,3,3,1,5,5
1,278,2,14.6.12,A-SSE.B,3,3,1,4,4
1,428,2,14.6.12,A-SSE.B,2,3,0,3,3
1,438,2,14.6.12,A-SSE.B,3,3,1,3,3
1,097,2,14.6.12,A-SSE.B,2,3,0,3,3
1,078,2,14.6.12,A-SSE.B,3,3,1,5,5
1,056,2,14.6.12,A-SSE.B,3,3,1,5,5
1,195,2,14.6.12,A-SSE.B,3,3,1,4,4
1,094,2,14.6.12,A-SSE.B,2,3,0,4,4
1,063,2,14.6.12,A-SSE.B,3,3,1,5,5
1,048,2,14.6.12,A-SSE.B,2,3,0,4,4
1,378,2,14.6.12,A-SSE.B,3,3,1,3,3
1,161,2,14.6.12,A-SSE.B,3,3,1,5,5
1,109,2,14.6.12,A-SSE.B,3,3,1,1,1
1,280,2,14.6.12,A-SSE.B,2,3,0,5,5
1,445,2,14.6.12,A-SSE.B,3,3,1,5,5
1,362,2,14.6.12,A-SSE.B,3,3,1,5,5
1,132,2,14.6.12,A-SSE.B,2,3,0,2,2
1,454,2,14.6.12,A-SSE.B,2,3,0,4,4
1,233,2,14.6.12,A-SSE.B,3,3,1,5,5
1,090,2,14.6.12,A-SSE.B,3,3,1,4,4
1,064,2,14.6.12,A-SSE.B,3,3,1,5,5
1,220,2,14.6.12,A-SSE.B,3,3,1,4,4
1,018,2,14.6.23,A-CED.A,1,1,1,2,2
1,403,2,14.6.23,A-CED.A,4,1,0,0,0
1,334,2,14.6.23,A-CED.A,1,1,1,4,4
1,028,2,14.6.23,A-CED.A,1,1,1,4,4
1,039,2,14.6.23,A-CED.A,1,1,1,5,5
1,419,2,14.6.23,A-CED.A,1,1,1,5,5
1,087,2,14.6.23,A-CED.A,2,1,0,3,3
1,353,2,14.6.23,A-CED.A,1,1,1,2,2
1,010,2,14.6.23,A-CED.A,3,1,0,0,0
1,369,2,14.6.23,A-CED.A,3,1,0,0,0
1,098,2,14.6.23,A-CED.A,1,1,1,4,4
1,071,2,14.6.23,A-CED.A,1,1,1,0,0
1,427,2,14.6.23,A-CED.A,1,1,1,4,4
1,238,2,14.6.23,A-CED.A,2,1,0,5,5
1,125,2,14.6.23,A-CED.A,4,1,0,4,4
1,420,2,14.6.23,A-CED.A,2,1,0,2,2
1,133,2,14.6.23,A-CED.A,4,1,0,0,0
1,305,2,14.6.23,A-CED.A,1,1,1,0,0
1,086,2,14.6.23,A-CED.A,2,1,0,0,0
1,377,2,14.6.23,A-CED.A,2,1,0,3,3
1,047,2,14.6.23,A-CED.A,1,1,1,5,5
1,032,2,14.6.23,A-CED.A,1,1,1,4,4
1,455,2,14.6.23,A-CED.A,1,1,1,5,5
1,278,2,14.6.23,A-CED.A,2,1,0,3,3
1,428,2,14.6.23,A-CED.A,3,1,0,2,2
1,438,2,14.6.23,A-CED.A,2,1,0,2,2
1,097,2,14.6.23,A-CED.A,2,1,0,4,4
1,078,2,14.6.23,A-CED.A,4,1,0,1,1
1,056,2,14.6.23,A-CED.A,1,1,1,5,5
1,195,2,14.6.23,A-CED.A,2,1,0,4,4
